# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
#
# Ravaged Ruins
# From Judges Guild
# Translated into TableSmith by Steve Davies
# 
# One of my favorite Judges Guild tables, as it usually gives intelligible
# results that spark imagination and stories.
#
# Modified by Valminder April 2002
#    I modified the "START" line.
# Modified by Valminder Nov 2005
#    Removed header from "START" line.
#

%ListCount%,0

:Start
1,[Generate]

:Generate
1	,The ruins are [~Condition]. They are [~State]. It consists of [~Class]. They are guarded by [~Keeper].

:Condition
1	,partially covered with [Covering]
2	,fully covered with [Covering]
3	,above ground
4	,on a rocky slope
5	,inside a cavern
6	,in a crevice
7	,beneath an overhang
8	,in a large crater
9	,partially sunken
10	,charred & burnt

:Covering
1	,sand
2	,ashes
3	,cinders
4	,earth
5	,a thicket
6	,mold
7	,slime
8	,rocks
9	,webs and dust
10	,vines

:State
1	,crumbled & decayed
2	,disfigured & defaced
3	,worm-eaten
4	,crystallized & petrified
5	,corroded & eroded
6	,collapsed & tumbled
7	,mouldy & contaminated
8	,dangerously operational
9	,partially operational
10	,fully operational

:Class
1	,[Ruins]
2	,[Relics]
3	,[Remains]
4	,[Vestiges]
5	,[Remnants]
6	,[Refuse]
7	,[Wrecks]
8	,[Skeletons]
9	,[Antiques]
10	,[Artifacts]

# ----------------------------------------------------
# -----		             RUINS				     -----
# ----------------------------------------------------
:Ruins
1	,a [Manor] manor
2	,a village with [Village]
3	,a city with [City]
4	,a citadel: [Citadel]
5	,a castle: [Castle]
6	,[Temple]

:Manor
1	,hut
2	,hovel
3	,hall
4	,villa
5	,cottage
6	,palace

:Village
1	,{Dice~2d6} huts
2	,{Dice~4d6} hovels
3	,{Dice~6d6} cottages
4	,{Dice~6d6} cottages with a ditch
5	,{Dice~6d6} cottages with a palisad
6	,{Dice~6d6} cottages with a palisad & moat

:City
1	,{Dice~7d6} houses and a citadel
2	,{Dice~8d6} houses
3	,{Dice~9d6} houses and a wall
4	,{Dice~9d6} houses, {Loop~{Dice~1d4-1},[Citadel]}, and |ListCount=0|[Citadel]
5	,{Dice~20d6} houses
6	,{Dice~20d6} houses, {Loop~{Dice~1d4-1},[Temple]}, and |ListCount=0|[Temple]

:Citadel
1	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}tower
2	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}tower and outer wall
3	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}great keep
4	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}great keep and {Dice~2d4} towers
5	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}great keep, {Dice~2d4} towers and outer wall
6	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}great keep, {Dice~2d4} towers, outer wall and moat

:Castle
1	,keep and palisad
2	,keep, palisad and moat
3	,keep, palisad, walls and moat
4	,keep, palisad, walls, moat and manor house
5	,keep, palisad, walls, {Dice~2d4} towers, moat and manor house
6	,keep, outer walls, {Dice~3d4} towers, moat and {Dice~1d4} great houses

:Temple
1	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}altar
2	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}shrine
3	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}sanctuary
4	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}oracle
5	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}pantheon
6	,{If~%ListCount%>0?[CommaList]/[NoCommaList]}monastery

:CommaList
1	,, |ListCount+1|

:NoCommaList
1	, |ListCount+1|

# ----------------------------------------------------------
# -----			           RELICS				       -----
# ----------------------------------------------------------
:Relics
1	,[Tools]
2	,a [Machines]
3	,a [Tombs]
4	,a [Armor]
5	,a [Weapons]
6	,a [Containers]

:Tools
1	,a ladder
2	,a plow
3	,a pick
4	,a hoe
5	,an anvil
6	,an axe

:Machines
1	,loom
2	,grinding wheel
3	,clock
4	,balance
5	,potter wheel
6	,press

:Tombs
1	,grave
2	,sepulchre
3	,mausoleum
4	,catacombs
5	,vault
6	,crypt

:Armor
1	,breastplate
2	,set of greaves
3	,gauntlet
4	,helmet
5	,suit of chainmail
6	,shield

:Weapons
1	,dagger
2	,scimitar
3	,hand axe
4	,spear
5	,trident
6	,battleaxe

:Containers
1	,barrel
2	,urn
3	,trunk
4	,jar
5	,bottle
6	,box

# ----------------------------------------------------------
# -----			           REMAINS				       -----
# ----------------------------------------------------------
:Remains
1	,[Utensils] utensils
2	,[Apparel]
3	,a [Harness] riding harness
4	,a [Toys]
5	,a [Optics]
6	,a [Tomes]

:Utensils
1	,an eating
2	,a digging
3	,a writing
4	,a navigating
5	,a measuring
6	,a musical

:Apparel
1	,hauberk
2	,boots
3	,cloak
4	,tunic
5	,mask
6	,pair of breeches

:Harness
1	,swimmer
2	,flyer
3	,giant animal
4	,small animal
5	,man-sized
6	,colossal

:Toys
1	,doll
2	,toy vehicle
3	,toy weapon
4	,toy tool
5	,game
6	,toy house

:Optics
1	,monocle
2	,spectacles
3	,spyglass
