# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
#
# Dungeon Dressing
# Converted from TableMaster Copyright 1995 by Wintertree Software
#
# Modified by Valminder, Jan 2004.
#    Added links to:
#        Creatures.Familiar
#        Creatures.Humanoid
#        Creatures.Start
#        Curios.Generate
#        Miscellaneous.Color
#        Miscellaneous.Metal
#        Miscellaneous.Odor2
#        Miscellaneous.Sound
#        Religion.Deities3
#        Rune Generator.GenRune
#        Traps.Generate
#
# Modified by Valminder, Sept 2005.
#    Added link to:
#        DUN Graffiti.Generate
# Modified by Valminder, Nov 2005.
#    Removed header from [Start]
#

#Declare Variables
%Loop%,1
%TempNumber%,0
%Count%,0
%Chance%,0

:Start
1,{Loop~{Max~1,{Dice~1d4-1}},-{Cap~[Generate]}.<br><br>}

:Chanceof
1,|Chance={Dice~1d100}|

;Generate
4,you find [Finds]
1,you find [Curios.Generate]
1,you find a spell component: [~Spell Components.Generate]
2,you see [Traces]
2,you smell [Smell]
3,you hear [Miscellaneous.Sound] ([Distant])
1,a [Breeze] brings [Smell]
1,a [Breeze] carries the sound of [Miscellaneous.Sound]
1,there is a trap here: [~Traps.Generate]
1,there is {AorAn~[Object]}
1,there [DUN Graffiti.Generate]

# ---------------------------------------------------------------------------

;Coin
12,copper
5,silver
2,gold
1,platinum

;Damage
5,intact
14,broken
1,petrified

;Damage2
1,intact
1,broken

;Distant
3,in the distance [Side]
2,faintly and [Side]
1,nearby
1,loudly and [Side]

;Location
6,wall
3,floor
1,ceiling

;Side
4,ahead
4,behind
1,above
1,below

;Type
2,Blunt
1,Piercing
2,Slashing

# ---------------------------------------------------------------------------

;Breeze
5,[Breeze_Type] breeze 
1,gust of cold air
1,gust of warm air
1,puff of wind

;Breeze_Type
3,slight
1,faint
1,trace of
1,sudden
2,chill
1,warm

;Finds
1,{AorAn~[Damage]} arrow
1,{AorAn~[Damage]} crossbow bolt
1,a scrap of leather strap
1,an old boot (with holes)
1,a rusty knife
1,a dull, rusty dagger
1,{AorAn~[Damage]} [Miscellaneous.Metal] buckle
1,a candle stub
1,a dung heap
1,a burned-out torch
1,a rusty spike[Chanceof]{If~%Chance%<40? pounded into the wall}
1,a short piece of rope
1,a torn scrap of parchment[Chanceof]{If~%Chance%<10? with part of a map}
1,some torn bits of linen
1,a pile of ashes
1,{AorAn~[Damage]} bottle
1,a few links of chain
1,a splintered club
1,|TempNumber={Dice~1d6}|<b>%TempNumber%</b> [Coin] {If~%TempNumber%>1? coins/coin}
