# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder Jan 20, 2006.
# ---------------------------------------------------
#
# Star Wars Droid Generator
# Randomly selects a droid from either the RCRB or A&E
#
# Created by Patrick Hodak
# Last Updated: 10-14-05
#
# Randomly selects a Droid from the RCRB or A&E and displays stats.
#
# Note: Some droids are missing stats including:
# AS-M12 (VP), MARK VII (DEF), RMD-20 (DEF), CLL-8 (DEF)
# Scrubber Droid (DEF), EV Series (DEF), U2-C1 (DEF), 11-17 (DEF)
# Mark X (VP,DEF), M38 (DEF), Gyrowheel (DEF)
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
#    I changed the "START" line.
#

/OverrideRolls 1

%Type%,0
%Class%,0
%Level%,0
%Make%,0
%Size%,0
%X%,0

%VP%,0
%Def%,0
%Melee%,0
%Ranged%,0
%Wpn%,0
%Armor%,0

%Stats%,0
%STR%,0
%DEX%,0
%CON%,0
%INT%,0
%WIS%,0
%CHA%,0

%Saves%,0
%Fort%,0
%Ref%,0
%Will%,0

@Type,56,Choose Droid Type,P2 Astromech,R1,R2,R3,R4,R5,R6,R7,LE Repair Droid,LIN Demomech,NR-5 Repair Droid,MSE-6 Repair Droid,3PO Protocol Droid,RA-7 Protocol Droid,PD "Lurrian" Protocol Droid,3D-4X Adm Droid,LOM Protocol Droid,SE4 Protocol Droid,TTS-15 Tutorial Droid,CZ Comm Droid,MD Medical Droid,FX Medical Droid,OOM Command Officer,SD Infantry Droid,Eradicator Battle Droid,M-3PO Protocol Droid,DZ Tracker Droid,G-2RD Guard Droid,GV-3 Guard Droid,TT-8L "Tattletale",501-Z "Zed" Police Droid,DRK-1 "Dark Eye" Probe Droid,Mark VII "Inquisitor",RMD-20 Monitoring Droid,AS-M12 Messenger Droid,M4 Messenger Droid,B1 Series Worker Droid,CLL-8 Binary Load Lifter,Scrubber Droid,EV Supervisor,U2-C1 Housekeeping Droid,11-17 Mining Droid,Mark X Executioner,M38 Explorer Droid,Gyrowheel Recycling Droid,2-1B Medical Droid,IT-0 Interrogation Droid,M-TD Translator Droid,B1 Battle Droid,B2 Battle Droid,Droideka Destroyer Droid,Viper Probe Droid,ASP Labor Droid,J9 Worker Drone,EG-6 Power Droid,Random

:Start
1,{Status~By Patrick Hodak 2005, Valminder 2006}
_<b><u>Droid Generator</u></b></br>
_<b>Type: </b>{If~%Type%=56? [RandomType] / [Type=%Type%]}</br>
_<b>Manufacturer: </b>[Make=%Make%]</br>
_<b>Size: </b>%Size%</br>
_<b>Class: </b>%Class%</br>
_<b>Level: </b>%Level%</br> 
_[Stats=%Type%]{Split~Stats,",",STR,DEX,CON,INT,WIS,CHA}{Split~Saves,",",Fort,Ref,Will}
_[DisplayCharacter]</br>
_<b>Vitality Points: </b>%VP%
_<b> Wound Points: </b>%CON%</br>
_<hr>
_<b>Melee Bonus: </b> +%Melee%</br>
_<b>Ranged Bonus: </b> +%Ranged%</br>
_<b>Weapons: </b>[Weapon=%Wpn%]</br>
_<hr>
_<b>Defense </b> %Def%</br>
_<b>Armor: </b>[Armor=%Armor%]</br>
_<hr>
#_<b>Saving Throws</b></br>
_<b>Fortitude: </b> %Fort%</br>
_<b>Reflex: </b> %Ref%</br>
_<b>Will: </b> %Will%</br>

#Randomizes Droids
;RandomType
10,[Type=1]
10,[Type=2]
20,[Type=3]
6,[Type=4]
20,[Type=5]
20,[Type=6]
20,[Type=7]
3,[Type=8]
10,[Type=9]
10,[Type=10]
20,[Type=11]
20,[Type=12]
20,[Type=13]
20,[Type=14]
20,[Type=15]
20,[Type=16]
20,[Type=17]
20,[Type=18]
20,[Type=19]
20,[Type=20]
20,[Type=21]
20,[Type=22]
10,[Type=23]
1,[Type=24]
5,[Type=25]
5,[Type=26]
10,[Type=27]
10,[Type=28]
20,[Type=29]
20,[Type=30]
3,[Type=31]
2,[Type=32]
5,[Type=33]
10,[Type=34]
20,[Type=35]
20,[Type=36]
20,[Type=37]
20,[Type=38]
20,[Type=39]
20,[Type=40]
20,[Type=41]
20,[Type=42]
5,[Type=43]
10,[Type=44]
10,[Type=45]
20,[Type=46]
2,[Type=47]
20,[Type=48]
10,[Type=49]
10,[Type=50]
5,[Type=51]
2,[Type=52]
20,[Type=53]
20,[Type=54]
20,[Type=55]

#Prints type based on selection/randomization
:Type
1,P2 Series Astromech Droid |Type=1||Class=Expert||Level=1||VP=0||Melee=2||Ranged=0||Def=10||Size=Large||Make=1||Wpn=1||Armor=1|
2,R1 Series Astromech Droid |Type=2||Class=Expert||Level=3||VP=0||Melee=5||Ranged=2||Def=10||Size=Large||Make=1||Wpn=1||Armor=1|
3,R2 Series Astromech Droid |Type=3||Class=Expert||Level=4||VP=0||Melee=5||Ranged=5||Def=14||Size=Small||Make=1||Wpn=1||Armor=1|
4,R3 Series Astromech Droid |Type=4||Class=Expert||Level=6||VP=0||Melee=7||Ranged=8||Def=16||Size=Small||Make=1||Wpn=1||Armor=1|
5,R4 Series Astromech Droid |Type=5||Class=Expert||Level=3||VP=0||Melee=4||Ranged=4||Def=14||Size=Small||Make=1||Wpn=1||Armor=1|
6,R5 Series Astromech Droid |Type=6||Class=Expert||Level=3||VP=0||Melee=4||Ranged=2||Def=12||Size=Small||Make=1||Wpn=1||Armor=1|
7,R6 Series Astromech Droid |Type=7||Class=Expert||Level=6||VP=0||Melee=7||Ranged=8||Def=16||Size=Small||Make=1||Wpn=1||Armor=1|
8,R7 Series Astromech Droid |Type=8||Class=Expert/Starship Ace||Level=8/1||VP=6||Melee=9/+4||Ranged=10/+5||Def=17||Size=Small||Make=1||Wpn=1||Armor=1|
9,LE Series Repair Droid |Type=9||Class=Expert/Tech Specialist||Level=1/2||VP=9||Melee=2||Ranged=0||Def=12||Size=Medium||Make=2||Wpn=2||Armor=2|
10,LIN Demolitionmech Series Industrial Droid |Type=10||Class=Expert/Tech Specialist||Level=1/2||VP=17||Melee=4||Ranged=1||Def=13||Size=Medium||Make=2||Wpn=3||Armor=3|
11,NR-5 Series Repair Droid |Type=11||Class=Expert||Level=4||VP=0||Melee=4||Ranged=3||Def=12||Size=Small||Make=3||Wpn=3||Armor=1|
12,MSE-6 Series Repair Droid |Type=12||Class=Expert||Level=1||VP=0||Melee=1||Ranged=7||Def=17||Size=Small||Make=4||Wpn=4||Armor=1|
13,3PO Series Protocol Droid |Type=13||Class=Diplomat||Level=1||VP=0||Melee=0||Ranged=0||Def=10||Size=Medium||Make=2||Wpn=2||Armor=1|
14,RA-7 Series Protocol Droid |Type=14||Class=Diplomat||Level=4||VP=0||Melee=2||Ranged=2||Def=11||Size=Medium||Make=5||Wpn=2||Armor=1|
