# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder August 10, 2006.
# ---------------------------------------------------
#
# Contacts
#
# Created by Patrick Hodak
# Last Updated: 10-14-05
#
# Uses images barX.jpg in the directory "SW Contacts"
# References: Fantasy Names, SW NPC Gen
#
# Modified by Valminder, Jan 2006.
#    Adapted for TSv5.
#    I modified the Graphics folder to "SW Contacts".
#    Added link to:
#       Miscellaneous.Personality
#       Names Generator.NAME Random
# Modified by Valminder, August  2006.
#    Added ling to: SW Planet Names.tab
#

%Path1%,<IMG SRC="Graphics\SW Contacts\
%Path2%," WIDTH=200 HEIGHT=20 ALIGN=TEXTTOP>

%Sex%,0
%Will%,0
%Job%,0

%temp1%,0
%temp2%,0

:Start
1,{Status~by Patrick Hodak 2005, Valminder 2006}<b><u>Starwars Contacts</u></b></br>
_<b>Name: </b>[~Names Generator.NAME Random]</br>
_<b>Race: </b>[~SW NPC Gen.RandomRace]</br>
_<b>Sex: </b>[Sex]</br>
_<b>Profession: </b>[job]</br>
_<b>Personality: </b>[~Miscellaneous.Personality]</br>
_<b>Planet:</b> [~SW Planet Names.Start(3,1)]</br>
_<b>Affiliation: </b>[~Affil%Sex%]</br>
_<b>Willingness to help: </b>[Help={Dice~1d%Will%}]</br>

#We're going to assume that the PC is male.
;Sex
3,Male |Sex=Male|
1,Female |Sex=Female|

#---Profession-------------------
;job
5,[Admin] Administrator (I,R)|Job=1|
1,Assassin (I,E)|Job=2|
1,Bounty Hunter (I,E)|Job=3|
5,Con Artist (I,R)|Job=4|
5,Crime Lord (I,R)|Job=5|
5,Doctor (I,R)|Job=6|
1,[Faction] Elite Trooper (I,E,R)|Job=7|
5,Fence (I,R)|Job=8|
5,Gambler (I)|Job=9|
#2,Independant Droid (I,E)
5,Medic (E)|Job=10|
5,Mercenary (I,E)|Job=11|
2,[Faction] Military Officer (I,R)|Job=12|
5,Outlaw (I,R)|Job=13|
5,Peace Officer (I)|Job=14|
5,[Group] Pilot (I,E)|Job=15|
5,[Organization] Pirate (I,E)|Job=16|
3,[Group] Ship Captain (I,R)|Job=17|
5,Slicer (I,E)|Job=18|
5,Smuggler (I,R)|Job=19|
5,[Group] Spacehand (I,E)|Job=20|
5,Starship Dock Attendant (I,R)|Job=21|
3,Information Broker (I)|Job=22|
5,[Group] Starfighter Pilot (E)|Job=23|
5,Technician (E)|Job=24|
5,Thief (I,E,R)|Job=25|
5,Thug (I,E)|Job=26|
5,[Deal] Dealer (I,R)
10,[Commoner]
5,[Expert]
5,[Diplomat]
1,[Famed] (I)
3,[Gang] Member (I,R)|Job=27|

# -------------------------------
# Additional Profession Information
# -------------------------------
;Admin
1,Business|temp1=Business|
